name,image,url,thesisurl,thesis,year,school,text
Maarten Sap,richesse_of_european_pine_martens.jpg,https://homes.cs.washington.edu/~msap,https://homes.cs.washington.edu/~msap/pdfs/sap2021positiveAIwithSocialCommonsenseModels.pdf,Positive AI with Social Commonsense Models,2021,UW,He is a young investigator at the Allen Institute for AI.
Elizabeth Clark,wisdom_of_wombats.jpg,https://homes.cs.washington.edu/~eaclark7,https://homes.cs.washington.edu/~eaclark7/thesis_draft.pdf,Text Generation and Evaluation for Human-Machine Collaborative Writing,2021,UW,She is a research scientist at Google.
Jesse Dodge,dazzle_of_zebras.jpg,http://www.cs.cmu.edu/afs/cs.cmu.edu/Web/People/jessed/index.html,http://www.cs.cmu.edu/~jessed/data_hosting/jesse_dodge_thesis_draft.pdf,Towards Efficient and Reproducible Natural Language Processing,2020,CMU,He is a young investigator at the Allen Institute for AI.
Dallas Card,siege_of_cranes.jpg,http://www.cs.cmu.edu/~dcard,http://www.cs.cmu.edu/~dcard/thesis.pdf,Accelerating Text-as-Data Research in Computational Social Science,2019,CMU,He is a postdoctoral researcher at Stanford University.
Swabha Swayamdipta,waddling_of_ducks.jpg,http://www.cs.cmu.edu/~sswayamd,http://www.cs.cmu.edu/~sswayamd/swabha_thesis.pdf,Syntactic Inductive Biases for Natural Language Processing,2019,CMU,She is a young investigator at the Allen Institute for AI.
Sam Thomson,murder_of_crows.jpg,http://samthomson.com,http://samthomson.com/papers/thesis.pdf,Encoding and Decoding Graph Representations of Natural Language,2019,CMU  ,He is a research scientist at Semantic Machines.
Jeffrey Flanigan,murmuration_of_starlings.jpg,http://www.cs.cmu.edu/~jmflanig,http://www.cs.cmu.edu/~jmflanig/thesis.pdf,Parsing and Generation for the Abstract Meaning Representation,2018,CMU,He is an assistant professor at the University of California Santa Cruz.
Lingpeng Kong,clutter_of_cats.jpg,http://www.cs.cmu.edu/~lingpenk,http://www.cs.cmu.edu/~lingpenk/thesis_draft.pdf,Neural Representation Learning in Linguistic Structured Prediction,2017,CMU,He is an assistant professor at Hong Kong University.
Yanchuan Sim,exaltation_of_skylarks.jpg,http://www.cs.cmu.edu/~ysim,https://www.lti.cs.cmu.edu/sites/default/files/sim%2C%20yanchuan%20-%20CMU-LTI-16-014%20-%202016.pdf,Text as Strategic Choice,2016,CMU,He is a researcher at A*STAR.
Waleed Ammar,charm_of_finches.jpg,http://www.cs.cmu.edu/~wammar,http://www.cs.cmu.edu/~wammar/pubs/thesis.pdf,Towards a Universal Analyzer of Natural Languages,2016,CMU,He is a research scientist at Google.
David Bamman,coalition_of_cheetahs.jpg,http://people.ischool.berkeley.edu/~dbamman,http://www.cs.cmu.edu/~dbamman/thesis,People-Centric Natural Language Processing,2015,CMU,He is an assistant professor at the University of California Berkeley.
Dani Yogatama,band_of_gorillas.jpg,http://www.cs.cmu.edu/~dyogatam,http://www.cs.cmu.edu/~dyogatam/thesis/thesis.pdf,Sparse Models of Natural Language Text,2015,CMU,He is a research scientist at DeepMind.
Brendan O'Connor,prickle_of_porcupines.jpg,http://brenocon.com,http://brenocon.com/phdthesis,Statistical Text Analysis for Social Science,2014,CMU,He is an assistant professor at the University of Massachusetts Amherst.
Nathan Schneider,smack_of_jellyfish.jpg,http://nathan.cl,http://www.cs.cmu.edu/~nschneid/thesis/index.html,Lexical Semantic Analysis in Natural Language Text,2014,CMU,He is an assistant professor at Georgetown University.
Tae Yano,husk_of_hares.jpg,http://www.cs.cmu.edu/~taey,http://www.cs.cmu.edu/~taey/pub/tae-yano-actuating-text-thesis.pdf,Text as Actuator: Text-Driven Response Modeling and Prediction in Politics,2013,CMU,She is a research scientist at Expedia.
Kevin Gimpel,crash_of_rhinos.jpg,http://ttic.uchicago.edu/~kgimpel,http://ttic.uchicago.edu/~kgimpel/papers/gimpel_thesis.pdf,Discriminative Feature-Rich Modeling for Syntax-Based  Machine Translation,2012,CMU,He is an assistant professor at the Toyota Technological Institute at Chicago.
Andr&eacute; Martins,scurry_of_squirrels.jpg,https://www.cs.cmu.edu/~afm/Home.html,https://www.cs.cmu.edu/~afm/Home_files/thesis.pdf,The Geometry of Constrained Structured Prediction: Applications to Inference and Learning of Natural Language Syntax,2012,CMU,He is head of research at Unbabel and associate professor at  Instituto Superior T&eacute;cnico.
Dipanjan Das,bloat_of_hippos.jpg,http://www.dipanjandas.com,https://kilthub.cmu.edu/articles/thesis/Semi-Supervised_and_Latent-Variable_Models_of_Natural_Language_Semantics/6721475,Semi-Supervised and Latent-Variable Models of Natural Language Semantics,2012,CMU,He is a research scientist at Google.
Shay Cohen,shoal_of_fish.jpg,http://homepages.inf.ed.ac.uk/scohen,http://homepages.inf.ed.ac.uk/scohen/thesis/,Computational Learning of Probabilistic Grammars in the Unsupervised Setting,2011,CMU,He is a reader (associate professor equivalent) at the University of Edinburgh.
Michael Heilman,mob_of_kangaroos.jpg,http://www.cs.cmu.edu/~mheilman,https://lti.cs.cmu.edu/sites/default/files/research/thesis/2011/michael_heilman_automatic_factual_question_generation_for_reading_assessment.pdf,Automatic Factual Question Generation from Text,2011,CMU,He is a data scientist at Civis Analytics.
